Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Lamar Stevens,PF,23,CLE,25,0,13.9,1.6,3.8,.406,0.1,0.7,.118,1.5,3.2,.468,.417,0.9,1.4,.676,0.5,2.0,2.5,0.9,0.4,0.3,0.6,1.4,4.1
Isaiah Stewart,C,19,DET,36,2,18.6,2.4,4.3,.564,0.1,0.2,.333,2.4,4.2,.573,.571,0.6,0.9,.676,2.4,3.5,5.9,0.7,0.6,1.0,0.9,2.5,5.6
Max Strus,SF,24,MIA,19,0,14.9,2.5,5.4,.456,1.6,4.5,.365,0.8,0.9,.889,.607,0.5,0.7,.714,0.1,0.9,1.1,0.5,0.2,0.0,0.2,1.3,7.1
Edmond Sumner,SG,25,IND,24,4,11.6,1.8,3.6,.506,0.4,1.2,.345,1.4,2.4,.586,.563,0.9,1.2,.759,0.3,1.0,1.4,0.4,0.6,0.1,0.9,1.3,5.0
Jae'Sean Tate,SF,25,HOU,36,24,27.6,4.1,7.7,.529,0.6,2.1,.303,3.4,5.6,.615,.571,1.2,1.6,.729,1.8,3.4,5.3,1.6,1.0,0.5,1.2,3.1,9.9
Jayson Tatum,SF,22,BOS,32,32,35.8,9.1,20.6,.442,2.6,7.1,.370,6.5,13.5,.480,.506,4.3,4.9,.861,0.6,6.4,7.0,4.4,1.3,0.5,2.5,1.9,25.1
Jeff Teague,PG,32,BOS,29,4,18.0,2.1,5.5,.377,0.7,1.6,.435,1.4,3.9,.354,.440,1.6,1.8,.865,0.2,1.4,1.6,2.1,0.8,0.2,1.1,1.2,6.4
Garrett Temple,SG,34,CHI,35,12,27.9,3.1,7.4,.425,1.3,3.8,.343,1.8,3.6,.512,.514,0.9,1.1,.816,0.6,2.6,3.1,2.0,0.9,0.5,1.0,2.3,8.5
Tyrell Terry,PG,20,DAL,11,0,5.1,0.5,1.5,.313,0.0,0.6,.000,0.5,0.8,.556,.313,0.1,0.3,.333,0.0,0.5,0.5,0.5,0.5,0.0,0.2,0.2,1.0
Daniel Theis,C,28,BOS,35,30,24.4,3.7,6.6,.570,0.8,2.2,.368,2.9,4.4,.669,.630,1.2,1.8,.677,1.3,3.8,5.1,1.3,0.7,1.1,1.0,2.9,9.5
Brodric Thomas,SG,24,TOT,5,0,5.8,0.6,1.8,.333,0.4,1.4,.286,0.2,0.4,.500,.444,1.0,1.4,.714,0.2,0.8,1.0,0.8,0.2,0.2,0.8,1.2,2.6
Matt Thomas,SG,26,TOR,23,0,7.2,0.9,2.3,.377,0.6,1.5,.371,0.3,0.8,.389,.500,0.3,0.3,.857,0.1,0.7,0.8,0.4,0.1,0.0,0.3,0.3,2.6
Tristan Thompson,PF,29,BOS,35,30,22.7,3.3,6.1,.535,0.0,0.1,.000,3.3,6.1,.542,.535,1.4,2.3,.600,3.1,5.2,8.3,1.0,0.3,0.4,0.9,2.1,7.9
Sindarius Thornwell,SG,26,NOP,13,1,5.1,0.5,1.5,.368,0.2,0.7,.333,0.3,0.8,.400,.447,0.0,0.2,.000,0.1,0.3,0.4,0.3,0.4,0.1,0.2,0.2,1.3
Matisse Thybulle,SG,23,PHI,35,4,18.5,1.4,3.3,.410,0.6,1.9,.294,0.8,1.4,.571,.496,0.2,0.4,.571,0.5,1.1,1.6,1.0,1.5,0.9,0.4,2.1,3.5
Killian Tillie,C,22,MEM,2,0,10.5,0.5,2.0,.250,0.5,1.0,.500,0.0,1.0,.000,.375,0.0,0.0,,0.5,0.5,1.0,0.0,0.5,0.0,0.5,2.5,1.5
Xavier Tillman Sr.,PF,22,MEM,29,7,19.9,2.9,5.6,.509,0.3,1.2,.278,2.5,4.4,.575,.540,0.7,0.9,.760,1.4,3.1,4.5,1.6,0.9,0.6,0.9,2.4,6.7
Obi Toppin,PF,22,NYK,29,0,12.8,2.0,4.0,.504,0.5,1.6,.311,1.5,2.4,.629,.565,0.4,0.5,.733,0.5,2.1,2.6,0.6,0.3,0.3,0.6,1.1,4.9
Juan Toscano-Anderson,SG,27,GSW,24,13,20.6,2.2,4.0,.558,0.6,1.5,.417,1.6,2.5,.644,.637,0.5,0.8,.722,0.7,3.7,4.4,2.3,0.5,0.5,1.1,2.1,5.6
Karl-Anthony Towns,C,25,MIN,18,18,32.6,8.1,16.4,.492,1.9,5.2,.362,6.2,11.2,.552,.549,4.3,4.7,.918,2.9,7.7,10.7,3.8,0.8,1.7,3.1,3.7,22.3
Gary Trent Jr.,SG,22,POR,35,22,31.3,5.5,13.2,.418,3.1,7.6,.401,2.5,5.6,.441,.534,1.1,1.5,.769,0.6,1.5,2.1,1.5,0.8,0.1,0.7,1.5,15.2
P.J. Tucker,PF,35,HOU,32,32,30.0,1.5,4.1,.366,0.8,2.7,.314,0.7,1.4,.467,.469,0.6,0.7,.783,1.0,3.6,4.6,1.4,0.9,0.6,1.0,2.8,4.4
Myles Turner,C,24,IND,35,35,31.3,4.7,9.6,.490,1.4,4.5,.316,3.3,5.1,.644,.564,2.6,3.3,.789,1.4,5.1,6.5,1.0,1.0,3.3,1.3,3.5,13.4
Jonas Valančiūnas,C,28,MEM,29,28,27.7,6.6,12.0,.546,0.3,1.0,.333,6.2,11.0,.566,.560,2.5,3.3,.753,3.6,8.0,11.6,1.8,0.6,0.7,2.0,3.0,16.0
Denzel Valentine,SG,27,CHI,32,3,19.2,3.0,8.0,.376,1.6,4.5,.345,1.4,3.4,.418,.475,0.2,0.2,1.000,0.4,3.7,4.1,1.8,0.7,0.0,0.6,1.2,7.8
Jarred Vanderbilt,PF,21,MIN,36,19,18.9,2.4,4.0,.604,0.0,0.1,.500,2.4,3.9,.606,.608,1.0,1.8,.554,1.9,4.0,5.8,1.6,1.1,0.7,1.1,2.1,5.9
Fred VanVleet,SG,26,TOR,34,34,36.7,6.6,16.6,.400,3.4,8.8,.383,3.3,7.9,.419,.501,3.5,3.9,.894,0.7,3.8,4.4,6.6,1.7,0.8,2.0,2.4,20.1
Devin Vassell,SF,20,SAS,27,1,17.4,2.0,4.9,.402,1.0,2.5,.403,1.0,2.4,.400,.504,0.7,0.8,.857,0.6,2.6,3.2,1.1,1.1,0.3,0.4,1.3,5.6
Gabe Vincent,PG,24,MIA,25,5,15.0,2.1,5.7,.364,0.9,3.6,.258,1.2,2.2,.537,.444,0.8,0.8,.905,0.1,1.0,1.1,1.2,0.5,0.1,0.8,1.8,5.8
Noah Vonleh,PF,25,BRK,4,0,2.8,0.0,0.8,.000,0.0,0.5,.000,0.0,0.3,.000,.000,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.5,0.5,0.0
Nikola Vučević,C,30,ORL,38,38,33.8,9.9,20.3,.488,2.6,6.4,.413,7.3,14.0,.522,.552,2.2,2.5,.854,2.0,9.7,11.7,3.7,0.9,0.6,1.7,1.7,24.6
